PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Aaron Gordon,ORL,24.0,3.1,4.7,0.653,0.4,1.0,0.356,0.6,1.6,0.337,0.2,1.1,0.197,0.4,1.5,0.306,0.8,2.5,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aaron Holiday,IND,23.0,1.3,2.5,0.507,0.3,0.8,0.319,0.2,0.6,0.294,0.3,0.9,0.345,0.5,1.2,0.443,0.9,2.4,0.379,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,OKC,26.0,1.0,1.7,0.625,0.1,0.4,0.333,0.0,0.1,0.167,0.1,0.2,0.4,0.3,0.9,0.39,0.5,1.4,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Mokoka,CHI,21.0,0.5,1.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.7,0.375,0.3,0.7,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,WAS,23.0,0.4,0.8,0.526,0.1,0.1,0.667,0.1,0.2,0.6,0.0,0.0,1.0,0.4,1.2,0.348,0.3,1.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Al Horford,PHI,33.0,1.7,2.6,0.662,0.5,1.3,0.397,0.4,1.1,0.394,0.5,1.1,0.484,0.4,1.3,0.316,1.2,3.6,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,ORL,29.0,0.7,1.9,0.343,0.1,0.5,0.222,0.0,0.0,0.0,0.1,0.2,0.667,0.3,1.1,0.263,0.2,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,PHI,28.0,1.6,3.3,0.495,0.3,1.0,0.333,0.5,1.3,0.364,0.4,1.0,0.41,0.7,1.7,0.396,1.2,3.3,0.36,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.0
Alen Smailagic,GSW,19.0,1.0,1.2,0.824,0.1,0.4,0.333,0.0,0.2,0.0,0.1,0.1,0.5,0.1,0.5,0.143,0.1,0.4,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,LAL,26.0,1.1,1.8,0.621,0.1,0.3,0.176,0.0,0.2,0.0,0.1,0.3,0.278,0.3,0.8,0.348,0.4,1.1,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,SAC,26.0,2.6,3.9,0.661,0.5,0.8,0.575,0.1,0.2,0.417,0.0,0.1,0.2,0.2,0.6,0.323,0.1,0.5,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonzo McKinnie,CLE,27.0,1.2,1.9,0.613,0.2,0.5,0.529,0.1,0.2,0.5,0.0,0.2,0.143,0.2,1.1,0.225,0.1,0.7,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alize Johnson,IND,24.0,0.5,0.8,0.6,0.1,0.3,0.333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Allen Crabbe,MIN,28.0,0.3,0.5,0.6,0.1,0.2,0.286,0.2,0.4,0.438,0.1,0.3,0.4,0.5,1.4,0.365,0.5,1.9,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Allonzo Trier,NYK,24.0,0.6,1.0,0.625,0.0,0.2,0.25,0.1,0.2,0.6,0.5,0.7,0.667,0.3,0.7,0.438,0.6,1.8,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amile Jefferson,ORL,27.0,0.3,0.7,0.375,0.1,0.2,0.333,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,LAC,22.0,0.5,1.2,0.385,0.2,0.6,0.4,0.4,0.6,0.8,0.1,0.3,0.333,0.1,0.4,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,CLE,26.0,6.2,10.2,0.61,0.9,2.5,0.379,0.1,0.3,0.176,0.0,0.1,0.167,0.1,0.2,0.25,0.0,0.4,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,MIA,36.0,0.9,1.1,0.75,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.3,0.75,0.5,1.3,0.389,0.2,0.5,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andrew Wiggins,GSW,25.0,3.9,6.0,0.646,1.0,2.4,0.415,0.5,1.6,0.307,0.4,1.2,0.348,0.9,2.5,0.358,1.4,4.3,0.328,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Anfernee Simons,POR,20.0,1.1,2.0,0.549,0.2,0.7,0.292,0.3,0.7,0.354,0.4,1.0,0.452,0.6,1.4,0.398,0.6,2.1,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Ante Zizic,CLE,23.0,1.4,2.3,0.608,0.2,0.6,0.333,0.3,0.3,0.833,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,LAL,27.0,5.3,7.6,0.703,0.7,1.8,0.404,1.1,2.3,0.457,0.8,2.4,0.323,0.6,1.5,0.42,0.7,2.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Anthony Tolliver,MEM,34.0,0.2,0.5,0.4,0.0,0.1,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.4,1.1,0.4,0.4,1.5,0.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonius Cleveland,DAL,26.0,0.3,0.5,0.667,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anzejs Pasecniks,WAS,24.0,1.9,2.7,0.71,0.4,1.1,0.36,0.1,0.4,0.222,0.0,0.4,0.125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aron Baynes,PHX,33.0,2.3,3.7,0.618,0.5,0.8,0.588,0.1,0.3,0.429,0.0,0.1,0.167,0.5,1.3,0.364,0.9,2.7,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Rivers,HOU,27.0,1.3,2.4,0.545,0.3,0.7,0.395,0.0,0.2,0.182,0.0,0.0,0.5,0.5,1.2,0.444,0.9,2.7,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Bradley,LAL,29.0,1.0,1.6,0.6,0.2,0.4,0.45,0.2,0.5,0.391,0.7,1.5,0.486,0.8,2.3,0.348,0.6,1.5,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Johnson,ORL,24.0,0.4,0.7,0.6,0.0,0.0,0.0,0.1,0.4,0.333,0.0,0.4,0.0,0.2,1.2,0.167,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bam Adebayo,MIA,22.0,4.6,6.7,0.689,0.8,2.0,0.415,0.7,1.5,0.463,0.1,0.6,0.214,0.0,0.2,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben McLemore,HOU,27.0,0.8,1.2,0.716,0.0,0.1,0.2,0.0,0.0,1.0,0.0,0.0,0.0,1.1,2.4,0.442,1.4,3.7,0.369,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Ben Simmons,PHI,23.0,5.9,8.9,0.657,0.7,1.9,0.382,0.1,0.4,0.136,0.0,0.1,0.2,0.0,0.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,CHA,27.0,2.6,3.9,0.654,0.2,0.9,0.204,0.1,0.3,0.267,0.0,0.1,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Griffin,DET,31.0,3.1,5.9,0.514,0.2,0.8,0.2,0.1,0.4,0.25,0.1,0.3,0.167,0.4,2.3,0.195,1.0,4.0,0.25,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Boban Marjanovic,DAL,31.0,1.9,2.6,0.73,0.5,1.2,0.439,0.2,0.6,0.3,0.1,0.3,0.429,0.1,0.1,0.667,0.1,0.4,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Portis,NYK,25.0,1.4,2.5,0.572,0.6,1.3,0.506,0.4,0.9,0.417,0.3,0.9,0.351,0.6,1.6,0.377,0.7,1.8,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogdan Bogdanovic,SAC,27.0,1.1,1.9,0.569,0.5,0.9,0.542,0.4,0.9,0.438,0.5,0.8,0.571,1.1,2.7,0.399,1.7,4.8,0.357,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Bojan Bogdanovic,UTA,31.0,2.4,4.1,0.59,0.7,1.9,0.378,0.3,1.0,0.323,0.2,0.5,0.324,1.4,3.4,0.419,1.6,3.8,0.408,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Brad Wanamaker,BOS,30.0,1.1,2.0,0.563,0.2,0.7,0.233,0.2,0.4,0.44,0.1,0.3,0.25,0.2,0.5,0.414,0.4,1.2,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Beal,WAS,26.0,4.4,6.9,0.639,0.6,1.8,0.356,1.1,2.4,0.453,1.1,2.7,0.4,0.9,2.6,0.351,2.2,6.3,0.358,0.0,0.1,0.167,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Clarke,MEM,23.0,3.2,4.4,0.73,0.6,1.1,0.518,0.7,1.3,0.563,0.1,0.2,0.455,0.2,0.6,0.393,0.2,0.5,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Goodwin,ATL,24.0,0.9,1.5,0.569,0.3,0.7,0.391,0.2,0.5,0.412,0.1,0.3,0.333,0.2,1.0,0.25,0.6,1.6,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Brandon Ingram,NOP,22.0,3.4,5.5,0.621,0.5,1.4,0.37,1.1,2.5,0.435,0.8,1.9,0.404,1.3,3.0,0.44,1.3,3.6,0.352,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Knight,DET,28.0,0.2,0.5,0.333,0.1,0.4,0.3,0.3,0.5,0.583,0.0,0.0,0.0,0.4,1.3,0.281,1.4,3.9,0.357,0.1,0.1,1.0,0.0,0.2,0.0,0.0,0.0,0.0
Brian Bowen II,IND,21.0,0.2,0.8,0.25,0.2,0.2,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Brook Lopez,MIL,32.0,1.6,2.5,0.667,0.5,1.3,0.407,0.4,0.8,0.469,0.0,0.1,0.6,0.3,1.0,0.297,1.1,3.6,0.3,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Brown,DET,23.0,2.2,4.3,0.518,0.6,1.4,0.386,0.1,0.3,0.25,0.0,0.0,0.0,0.4,1.1,0.391,0.2,0.6,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Caboclo,HOU,24.0,0.8,1.3,0.611,0.2,0.4,0.444,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.7,0.278,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Fernando,ATL,21.0,1.6,2.3,0.664,0.1,0.4,0.3,0.1,0.2,0.556,0.0,0.0,0.0,0.0,0.4,0.105,0.1,0.3,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryn Forbes,SAS,26.0,0.5,0.8,0.588,0.2,0.6,0.429,0.2,0.4,0.462,0.4,0.9,0.456,0.7,1.8,0.389,1.8,4.7,0.39,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buddy Hield,SAC,27.0,1.7,2.7,0.636,0.2,0.8,0.306,0.4,1.1,0.362,0.7,1.6,0.456,1.6,4.2,0.391,2.4,6.2,0.392,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ McCollum,POR,28.0,2.3,4.4,0.529,0.8,2.1,0.406,1.3,2.4,0.531,1.3,2.6,0.503,1.5,3.4,0.437,1.6,4.6,0.351,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Miles,WAS,33.0,0.6,1.5,0.4,0.1,0.4,0.25,0.0,0.1,0.0,0.0,0.2,0.0,0.5,1.3,0.385,0.7,2.3,0.304,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Martin,CHA,24.0,0.8,1.9,0.4,0.1,0.2,0.333,0.0,0.0,0.0,0.1,0.2,0.25,0.5,1.1,0.471,0.7,1.3,0.565,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Swanigan,POR,23.0,0.8,1.2,0.7,0.2,0.3,0.5,0.1,0.2,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Reddish,ATL,20.0,1.4,2.8,0.5,0.3,0.7,0.366,0.2,0.7,0.333,0.3,0.9,0.308,0.7,2.0,0.322,0.9,2.4,0.355,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Johnson,PHX,24.0,0.7,1.2,0.542,0.0,0.1,0.4,0.1,0.2,0.273,0.1,0.3,0.357,1.1,2.6,0.422,0.8,2.2,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caris LeVert,BKN,25.0,2.7,5.3,0.505,0.8,2.3,0.33,0.8,2.2,0.372,0.3,0.8,0.433,0.5,1.6,0.333,1.3,3.3,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmelo Anthony,POR,35.0,1.7,3.2,0.519,0.4,0.9,0.442,1.2,2.8,0.428,0.9,2.3,0.368,1.0,2.5,0.398,0.7,1.9,0.365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Carsen Edwards,BOS,22.0,0.1,0.5,0.278,0.0,0.2,0.0,0.0,0.1,0.0,0.3,0.4,0.75,0.2,0.7,0.273,0.5,1.5,0.327,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Cedi Osman,CLE,25.0,1.7,3.0,0.573,0.2,0.7,0.333,0.2,0.5,0.364,0.0,0.2,0.3,0.8,1.8,0.431,1.1,3.1,0.363,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Chandler Hutchison,CHI,24.0,2.1,3.8,0.547,0.3,0.8,0.348,0.1,0.2,0.333,0.0,0.1,0.0,0.3,0.8,0.391,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandler Parsons,ATL,31.0,0.2,0.6,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.333,0.6,2.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Brown Jr.,ATL,23.0,0.2,0.7,0.333,0.1,0.4,0.333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0
Chasson Randle,GSW,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheick Diallo,PHX,23.0,1.6,2.2,0.735,0.1,0.3,0.333,0.2,0.4,0.538,0.1,0.3,0.417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chimezie Metu,SAS,23.0,0.7,0.9,0.786,0.2,0.6,0.375,0.2,0.3,0.5,0.3,0.4,0.8,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Boucher,TOR,27.0,1.5,2.6,0.59,0.1,0.1,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,0.273,0.4,1.3,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Chiozza,BKN,24.0,0.5,1.2,0.423,0.1,0.2,0.667,0.0,0.2,0.0,0.1,0.2,0.25,0.3,0.6,0.417,0.6,1.3,0.464,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Clemons,HOU,22.0,0.5,0.9,0.6,0.0,0.0,1.0,0.0,0.1,0.333,0.0,0.1,0.0,0.2,0.4,0.4,1.0,2.9,0.349,0.1,0.3,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Chris Paul,OKC,35.0,1.0,1.3,0.732,0.6,1.1,0.535,1.7,3.1,0.541,1.4,2.7,0.506,0.4,1.3,0.338,1.2,3.0,0.386,0.1,0.1,0.667,0.0,0.1,0.0,0.0,0.2,0.091
Chris Silva,MIA,23.0,1.0,1.4,0.673,0.1,0.2,0.5,0.1,0.1,0.5,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Wood,DET,24.0,3.2,4.4,0.735,0.3,0.9,0.327,0.1,0.3,0.278,0.2,0.3,0.474,0.4,0.9,0.393,0.5,1.4,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clint Capela,ATL,26.0,5.7,8.6,0.671,0.5,1.3,0.373,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coby White,CHI,20.0,1.8,3.7,0.492,0.2,0.7,0.348,0.2,0.5,0.4,0.3,0.9,0.3,0.8,2.2,0.364,1.4,4.1,0.356,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Martin,CHA,24.0,1.4,2.2,0.619,0.0,0.1,0.286,0.0,0.1,0.0,0.0,0.2,0.286,0.2,1.0,0.196,0.2,0.8,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Zeller,CHA,27.0,3.6,5.7,0.625,0.4,1.0,0.375,0.0,0.2,0.154,0.0,0.0,1.0,0.1,0.2,0.417,0.2,1.1,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Sexton,CLE,21.0,3.8,6.6,0.576,1.0,2.5,0.39,1.0,2.2,0.472,0.6,1.3,0.419,0.4,1.0,0.412,1.1,3.0,0.365,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Cory Joseph,SAC,28.0,0.8,1.2,0.608,0.4,0.9,0.429,0.3,0.7,0.364,0.2,0.5,0.371,0.5,1.3,0.341,0.4,1.1,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Lee,DAL,34.0,0.5,0.6,0.733,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.3,0.429,0.7,1.3,0.533,0.2,0.8,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano Felicio,CHI,27.0,1.5,2.1,0.702,0.0,0.0,0.0,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Angelo Russell,MIN,24.0,1.3,2.0,0.652,0.6,1.6,0.342,1.0,2.5,0.398,1.4,2.6,0.53,0.9,2.1,0.411,2.6,7.0,0.366,0.3,0.9,0.351,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Augustin,ORL,32.0,1.1,2.2,0.486,0.2,0.7,0.222,0.4,0.8,0.512,0.3,0.8,0.395,0.3,0.8,0.325,1.0,2.6,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
D.J. Wilson,MIL,24.0,0.6,0.9,0.704,0.1,0.3,0.375,0.0,0.2,0.167,0.1,0.1,0.667,0.3,0.7,0.5,0.2,1.2,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaQuan Jeffries,SAC,22.0,0.3,0.3,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.5,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0
Damian Jones,ATL,24.0,2.1,2.8,0.748,0.0,0.2,0.222,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,POR,29.0,3.9,6.9,0.569,0.2,0.7,0.231,0.5,1.0,0.458,0.5,1.1,0.484,0.7,2.0,0.365,2.5,6.4,0.392,0.8,1.9,0.412,0.2,0.3,0.667,0.0,0.1,0.333
Damion Lee,GSW,27.0,1.2,2.2,0.575,0.4,0.9,0.432,0.6,1.3,0.435,0.4,1.0,0.404,0.6,1.6,0.338,1.2,3.4,0.347,0.0,0.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0
Damyean Dotson,NYK,26.0,0.5,0.9,0.591,0.1,0.2,0.333,0.1,0.2,0.4,0.3,0.9,0.375,0.6,1.6,0.365,0.9,2.3,0.393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Gafford,CHI,21.0,2.1,2.9,0.742,0.0,0.2,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Theis,BOS,28.0,2.6,3.8,0.689,0.3,0.7,0.45,0.2,0.4,0.52,0.1,0.2,0.5,0.1,0.4,0.19,0.4,1.1,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Gallinari,OKC,31.0,1.5,2.5,0.571,0.2,0.8,0.261,0.4,0.9,0.447,0.5,1.2,0.4,1.3,2.9,0.447,2.1,5.1,0.413,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Danny Green,LAL,32.0,0.7,1.1,0.636,0.2,0.4,0.5,0.1,0.2,0.462,0.1,0.3,0.2,1.1,2.5,0.422,0.8,2.4,0.329,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Exum,CLE,24.0,0.9,1.7,0.542,0.2,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.4,0.214,0.3,0.8,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danuel House Jr.,HOU,26.0,1.4,2.3,0.619,0.1,0.4,0.227,0.1,0.2,0.364,0.0,0.1,0.333,1.1,2.9,0.398,0.8,2.5,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dario Saric,PHX,26.0,1.8,3.0,0.603,0.2,0.6,0.412,0.1,0.2,0.571,0.2,0.4,0.478,0.4,1.4,0.316,0.9,2.5,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Bazley,OKC,19.0,0.9,1.8,0.505,0.1,0.5,0.269,0.0,0.1,0.25,0.0,0.1,0.4,0.4,1.1,0.339,0.2,0.9,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Garland,CLE,20.0,1.2,2.7,0.44,0.6,1.3,0.486,0.7,1.5,0.438,0.4,1.1,0.349,0.7,1.8,0.371,1.2,3.1,0.374,0.2,0.7,0.231,0.0,0.0,0.0,0.0,0.0,0.0
Daryl Macon,MIA,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.333,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
